Adlm|ADLAM
Arab|ARABIC
Arab|ARABIC-INDIC
Armn|ARMENIAN
Bali|BALINESE
Bamu|BAMUM
Batk|BATAK
Beng|BENGALI
Bopo|BOPOMOFO
Brai|BRAILLE
Bugi|BUGINESE
Buhd|BUHID
Cans|CANADIAN
Cakm|CHAKMA
Cham|CHAM
Cher|CHEROKEE
Hani|CJK
Copt|COPTIC
Cyrl|CYRILLIC
Dsrt|DESERET
Deva|DEVANAGARI
Dupl|DUPLOYAN
Ethi|ETHIOPIC
Geok|GEORGIAN
Glag|GLAGOLITIC
Gran|GRANTHA
Grek|GREEK
Gujr|GUARANI
Gujr|GUJARATI
Gong|GUNJALA
Guru|GURMUKHI
Hang|HANGUL
Rohg|HANIFI
Hano|HANUNOO
Hatr|HATRAN
Hebr|HEBREW
Hira|HIRAGANA
Hrkt|JAPANESE
Java|JAVANESE
Kthi|KAITHI
Knda|KANNADA
Kana|KATAKANA
Kana|KATAKANA-HIRAGANA
Kali|KAYAH
Khar|KHAROSHTHI
Khmr|KHMER
Khoj|KHOJKI
Sind|KHUDAWADI
Kore|KOREAN
Laoo|LAO
Latn|LATIN
Lepc|LEPCHA
Limb|LIMBU
Lisu|LISU
Lyci|LYCIAN
Lydi|LYDIAN
Jahj|MAHAJANI
Maka|MAKASAR
Mlym|MALAYALAM
Mand|MANDAIC
Mani|MANICHAEAN
Marc|MARCHEN
Gonm|MASARAM
Medf|MEDEFAIDRIN
Mtei|MEETEI
Mend|MENDE
Merc|MEROITIC
Pird|MIAO
Modi|MODI
Mong|MONGOLIAN
Mroo|MRO
Mult|MULTANI
Mymr|MYANMAR
Nbat|NABATAEAN
Talu|NEW
Nkoo|NKO
Nshu|NUSHU
Ogam|OGHAM
Olck|OL
Orya|ORIYA
Osge|OSAGE
Osma|OSMANYA
Hmng|PAHAWH
Pauc|PAU
Phag|PHAGS-PA
Phnx|PHOENICIAN
Phlp|PSALTER
Rjng|REJANG
Runr|RUNIC
Samr|SAMARITAN
Saur|SAURASHTRA
Shrd|SHARADA
Shaw|SHAVIAN
Sidd|SIDDHAM
Sgnw|SIGNWRITING
Sinh|SINHALA
Sogd|SOGDIAN
Sora|SORA
Soyo|SOYOMBO
Sylo|SYLOTI
Syrc|SYRIAC
Tgtl|TAGALOG
Tagb|TAGBANWA
Lana|TAI THAM
Tale|TAI LE
Tavt|TAI VIET
Takr|TAKRI
Taml|TAMIL
Tang|TANGUT
Telu|TELUGU
Thaa|THAANA
Thai|THAI
Tibt|TIBETAN
Tfng|TIFINAGH
Tirh|TIRHUTA
Ugar|UGARITIC
Vaii|VAI
Wara|WARANG
Yiii|YI
Zanb|ZANABAZAR
